Year,Threat_Category,Layer,Severity,Incident_Count,Mitigation_Effectiveness,Reported_Cases
2019,API Abuse,IaaS,Low,13,5.9,10
2021,Insider Threat,IaaS,Medium,28,5.8,15
2024,Container Escape,IaaS,Medium,33,7.2,29
2020,Data Breach,PaaS,High,61,3.2,29
2023,DDoS Attack,PaaS,Medium,53,9.7,58
2019,Container Escape,IaaS,Low,14,10.0,16
2021,Insider Threat,PaaS,Medium,19,7.7,7
2019,Misconfiguration,IaaS,Low,1,6.5,0
2024,DDoS Attack,SaaS,Low,13,5.5,6
2019,Phishing,PaaS,Medium,20,7.1,9
2023,Insider Threat,SaaS,Medium,45,8.9,45
2021,DDoS Attack,SaaS,Low,30,7.1,37
2023,Zero-Day Vulnerability,PaaS,Low,51,7.6,53
2019,Malware Injection,IaaS,Low,12,6.2,10
2021,Insider Threat,PaaS,Low,24,8.2,12
2022,API Abuse,SaaS,High,61,2.7,75
2024,Supply Chain Compromise,IaaS,Low,9,6.4,6
2020,Phishing,SaaS,Medium,89,5.2,36
2023,Zero-Day Vulnerability,IaaS,Low,27,8.5,27
2020,Data Breach,SaaS,Medium,47,6.2,39
2020,Supply Chain Compromise,IaaS,Medium,37,3.0,19
2021,API Abuse,IaaS,Low,21,6.2,19
2023,API Abuse,IaaS,Low,27,8.8,30
2022,Malware Injection,PaaS,High,58,5.6,48
2023,DDoS Attack,SaaS,Low,40,6.1,17
2019,DDoS Attack,PaaS,Low,5,6.7,3
2021,Data Breach,SaaS,High,89,3.8,83
2020,Insider Threat,PaaS,Medium,55,4.5,48
2019,Container Escape,IaaS,Medium,55,6.3,26
2019,Data Breach,PaaS,Medium,31,6.7,24
2021,Container Escape,PaaS,Medium,68,9.3,86
2021,Phishing,PaaS,Medium,24,5.9,16
2021,Zero-Day Vulnerability,SaaS,Medium,23,6.5,9
2021,Misconfiguration,IaaS,High,64,3.1,61
2021,Zero-Day Vulnerability,IaaS,Medium,34,7.4,23
2020,DDoS Attack,PaaS,Medium,25,4.1,29
2024,Supply Chain Compromise,SaaS,Medium,67,3.1,43
2023,DDoS Attack,IaaS,Low,23,5.9,27
2023,Zero-Day Vulnerability,PaaS,Low,37,6.5,18
2023,Misconfiguration,PaaS,Medium,29,7.3,21
2024,DDoS Attack,IaaS,Low,1,8.6,0
2022,Misconfiguration,PaaS,Medium,58,4.6,41
2020,Misconfiguration,PaaS,Low,1,6.6,0
2021,Data Breach,PaaS,High,81,3.0,44
2021,Misconfiguration,PaaS,Low,52,8.0,65
2019,Zero-Day Vulnerability,SaaS,High,82,4.9,83
2024,Misconfiguration,SaaS,Low,17,6.9,17
2020,API Abuse,IaaS,Medium,48,7.4,23
2019,Insider Threat,PaaS,Low,20,8.6,24
2019,Malware Injection,SaaS,Medium,34,5.5,16
2023,Insider Threat,IaaS,Medium,43,5.1,26
2021,Insider Threat,SaaS,Low,29,9.7,20
2020,Insider Threat,PaaS,Low,1,8.0,1
2023,API Abuse,SaaS,Medium,1,4.9,0
2023,DDoS Attack,PaaS,Low,28,7.4,26
2020,Zero-Day Vulnerability,IaaS,Low,30,5.3,21
2019,Insider Threat,SaaS,Low,1,4.9,0
2022,DDoS Attack,IaaS,High,52,3.5,63
2019,DDoS Attack,SaaS,Medium,48,4.4,31
2023,Phishing,SaaS,Medium,15,4.6,19
2023,Supply Chain Compromise,PaaS,Medium,33,6.5,26
2023,Malware Injection,SaaS,High,42,5.5,43
2019,Malware Injection,PaaS,Medium,43,8.3,36
2020,Misconfiguration,IaaS,High,57,1.0,64
2020,Phishing,SaaS,Low,17,8.6,15
2021,DDoS Attack,PaaS,Medium,100,3.8,112
2022,Insider Threat,IaaS,High,26,5.4,33
2021,API Abuse,SaaS,Medium,23,6.4,25
2022,Misconfiguration,SaaS,Low,16,7.3,12
2023,Data Breach,IaaS,High,60,5.8,24
2019,Supply Chain Compromise,IaaS,Medium,76,6.7,70
2023,Data Breach,IaaS,High,71,5.4,42
2019,Container Escape,PaaS,Medium,74,9.0,86
2021,Malware Injection,PaaS,Low,34,6.7,38
2024,Supply Chain Compromise,SaaS,Medium,70,5.1,59
2019,API Abuse,IaaS,High,70,6.4,58
2022,Malware Injection,IaaS,Medium,13,5.1,10
2020,Container Escape,IaaS,High,88,3.9,41
2019,Phishing,SaaS,Low,26,9.2,29
2024,Container Escape,PaaS,Medium,59,6.3,41
2020,Malware Injection,IaaS,Low,21,8.8,16
2023,Zero-Day Vulnerability,IaaS,Medium,36,6.6,14
2022,Data Breach,IaaS,Low,36,9.6,25
2022,Insider Threat,SaaS,Medium,58,5.2,31
2024,Container Escape,SaaS,Medium,65,4.9,74
2021,Insider Threat,PaaS,High,50,4.7,28
2020,Data Breach,SaaS,Medium,36,6.5,16
2022,Malware Injection,IaaS,High,51,3.5,21
2019,Malware Injection,IaaS,Low,1,7.4,0
2020,Zero-Day Vulnerability,SaaS,Low,38,5.4,22
2023,Container Escape,IaaS,Low,19,7.1,11
2024,API Abuse,SaaS,Medium,46,3.2,27
2021,Data Breach,IaaS,Medium,31,9.0,20
2019,Container Escape,SaaS,High,102,6.4,66
2024,DDoS Attack,PaaS,Low,1,6.3,0
2023,DDoS Attack,IaaS,High,71,6.6,30
2020,Insider Threat,IaaS,Medium,46,5.4,30
2022,DDoS Attack,IaaS,Low,1,7.4,0
2024,Insider Threat,IaaS,Low,20,6.8,15
2024,Phishing,SaaS,Medium,35,8.9,40
2024,Malware Injection,PaaS,High,43,6.1,41
2022,Misconfiguration,SaaS,Low,19,9.2,24
2022,Zero-Day Vulnerability,PaaS,Medium,45,4.4,41
2022,Misconfiguration,IaaS,High,80,4.1,89
2023,Supply Chain Compromise,IaaS,Low,25,7.7,12
2019,Phishing,IaaS,High,47,4.7,22
2023,Misconfiguration,PaaS,Medium,3,3.6,1
2020,Zero-Day Vulnerability,SaaS,Low,5,4.3,2
2020,Zero-Day Vulnerability,IaaS,Medium,38,5.6,37
2020,Insider Threat,SaaS,High,33,4.5,36
2021,Supply Chain Compromise,PaaS,Low,1,7.1,0
2021,Malware Injection,SaaS,Low,1,7.0,1
2022,Data Breach,IaaS,Medium,59,4.2,24
2023,Data Breach,PaaS,Medium,58,5.0,44
2019,Zero-Day Vulnerability,IaaS,Low,43,5.9,17
2019,Data Breach,PaaS,Medium,66,6.7,60
2024,Data Breach,PaaS,Low,35,8.1,27
2019,Zero-Day Vulnerability,PaaS,High,71,3.3,62
2022,DDoS Attack,PaaS,Medium,21,4.7,26
2022,Insider Threat,PaaS,Medium,4,4.9,2
2019,Supply Chain Compromise,PaaS,Low,26,6.3,26
2024,Insider Threat,PaaS,Medium,12,5.3,12
2022,Zero-Day Vulnerability,IaaS,Low,40,7.7,30
2021,Insider Threat,IaaS,High,68,5.7,32
2019,Supply Chain Compromise,IaaS,Medium,33,7.4,22
2020,Misconfiguration,IaaS,Medium,1,6.1,0
2019,Data Breach,IaaS,High,70,3.4,88
2019,DDoS Attack,PaaS,Medium,62,4.9,50
2020,API Abuse,IaaS,High,70,2.1,44
2022,Data Breach,PaaS,Medium,67,6.0,64
2023,Container Escape,PaaS,Low,34,7.8,38
2023,Phishing,PaaS,Low,1,6.6,1
2022,Misconfiguration,SaaS,Medium,57,7.1,42
2022,Container Escape,IaaS,Medium,54,7.0,42
2021,Zero-Day Vulnerability,SaaS,Low,16,6.9,14
2020,Misconfiguration,SaaS,Low,11,6.7,10
2020,Misconfiguration,IaaS,Medium,1,5.6,0
2021,Supply Chain Compromise,IaaS,Low,16,8.1,15
2023,Data Breach,SaaS,Low,30,5.5,19
2019,Supply Chain Compromise,SaaS,High,99,1.9,92
2020,API Abuse,SaaS,Low,25,7.7,12
2019,Insider Threat,IaaS,Low,22,5.3,17
2019,Data Breach,SaaS,Low,55,6.5,25
2022,Zero-Day Vulnerability,IaaS,Low,22,5.7,10
2022,Supply Chain Compromise,PaaS,Low,10,3.7,5
2019,Supply Chain Compromise,SaaS,High,75,2.9,35
2024,Container Escape,IaaS,Low,74,4.8,52
2019,Data Breach,PaaS,Low,73,9.2,64
2022,Data Breach,PaaS,Low,18,6.7,11
2024,Data Breach,SaaS,Low,41,5.5,25
2023,Supply Chain Compromise,IaaS,Medium,36,3.1,24
2021,API Abuse,SaaS,High,58,4.7,48
2022,API Abuse,PaaS,Low,9,7.4,4
2019,Container Escape,IaaS,High,93,3.9,74
2022,Phishing,IaaS,High,53,8.3,32
2021,Zero-Day Vulnerability,IaaS,Medium,67,4.2,59
2021,Supply Chain Compromise,SaaS,High,61,4.9,46
2021,Malware Injection,SaaS,Medium,16,4.4,8
2019,Phishing,IaaS,Medium,40,4.4,30
2021,Insider Threat,PaaS,Low,10,7.7,9
2021,Misconfiguration,IaaS,Medium,42,3.6,44
2019,Container Escape,PaaS,High,57,3.5,26
2023,Data Breach,IaaS,Medium,27,4.4,16
2020,Container Escape,PaaS,Medium,44,7.9,29
2022,Insider Threat,PaaS,Low,19,7.7,19
2019,Phishing,SaaS,Medium,52,8.1,56
2022,Misconfiguration,SaaS,Low,1,5.2,0
2022,Supply Chain Compromise,SaaS,Medium,53,5.2,68
2022,Data Breach,PaaS,Medium,52,4.3,55
2023,Insider Threat,PaaS,Medium,32,5.7,27
2019,Malware Injection,PaaS,Medium,24,5.2,10
2019,Container Escape,PaaS,Low,20,7.8,15
2019,Supply Chain Compromise,IaaS,Medium,62,7.0,57
2019,DDoS Attack,SaaS,Low,18,6.2,15
2022,Zero-Day Vulnerability,SaaS,Low,1,7.1,0
2024,Supply Chain Compromise,PaaS,Medium,35,3.4,45
2020,Zero-Day Vulnerability,SaaS,Medium,65,7.4,64
2023,Malware Injection,PaaS,Low,1,6.0,1
2024,Malware Injection,IaaS,Low,1,6.1,0
2021,Phishing,PaaS,High,51,4.8,25
2019,Malware Injection,IaaS,Low,28,6.7,13
2019,Insider Threat,PaaS,Medium,45,6.4,36
2023,Zero-Day Vulnerability,PaaS,Low,47,8.9,42
2019,Data Breach,PaaS,Low,36,5.7,20
2020,DDoS Attack,IaaS,Low,12,6.9,11
2024,Data Breach,PaaS,Low,19,5.6,20
2021,Phishing,IaaS,Low,77,7.0,76
2022,Phishing,SaaS,Medium,70,5.7,44
2021,Malware Injection,IaaS,Low,1,7.8,0
2019,Data Breach,PaaS,High,78,5.9,63
2022,API Abuse,IaaS,High,60,3.6,68
2024,Insider Threat,PaaS,Low,25,8.8,27
2022,API Abuse,PaaS,High,45,2.1,19
2022,Supply Chain Compromise,SaaS,Low,31,9.0,22
2019,Insider Threat,IaaS,High,48,4.7,28
2022,API Abuse,PaaS,Low,1,8.1,0
2022,Malware Injection,PaaS,Low,20,4.1,20
2023,Supply Chain Compromise,PaaS,High,65,6.5,33
2021,Misconfiguration,IaaS,High,60,4.1,67
2020,Zero-Day Vulnerability,SaaS,Low,51,9.3,56
2019,Malware Injection,IaaS,High,113,5.0,51
2023,Zero-Day Vulnerability,PaaS,Low,17,10.0,20
2024,Data Breach,SaaS,Low,52,9.3,24
2020,DDoS Attack,IaaS,Medium,50,6.6,25
2023,Misconfiguration,IaaS,Medium,38,4.2,45
2023,Misconfiguration,SaaS,Low,10,9.4,4
2021,Malware Injection,PaaS,High,23,5.8,24
2023,Zero-Day Vulnerability,PaaS,Medium,41,7.4,33
2023,Misconfiguration,IaaS,Low,35,7.7,30
2019,Data Breach,PaaS,Low,37,10.0,44
2020,DDoS Attack,PaaS,Low,55,5.8,63
2022,API Abuse,IaaS,Low,2,9.7,1
2019,Phishing,PaaS,Medium,19,2.8,10
2021,Phishing,IaaS,Medium,65,4.4,27
2022,Zero-Day Vulnerability,PaaS,Medium,50,4.5,59
2023,Data Breach,IaaS,Low,35,3.6,22
2024,Phishing,PaaS,Low,14,7.2,9
2022,Data Breach,PaaS,Low,31,6.1,17
2022,Data Breach,IaaS,Low,38,8.8,43
2019,Container Escape,PaaS,Medium,68,8.1,45
2021,Container Escape,IaaS,Low,25,7.2,12
2024,Supply Chain Compromise,IaaS,Medium,56,4.5,64
2022,API Abuse,PaaS,Medium,14,5.2,7
2023,Misconfiguration,IaaS,High,48,5.5,33
2020,API Abuse,IaaS,Low,4,6.6,5
2024,Zero-Day Vulnerability,SaaS,Low,43,7.0,36
2019,Insider Threat,PaaS,Low,1,8.5,0
2024,Insider Threat,SaaS,Low,20,10.0,21
2020,Data Breach,IaaS,Medium,60,5.0,77
2023,Data Breach,IaaS,Low,13,5.6,15
2019,Phishing,IaaS,Medium,12,3.8,6
2021,Container Escape,PaaS,Low,52,7.1,48
2023,Misconfiguration,SaaS,Low,12,9.3,9
2024,Zero-Day Vulnerability,SaaS,Low,35,9.1,38
2024,Malware Injection,PaaS,Medium,22,3.1,13
2024,Misconfiguration,SaaS,Low,1,6.9,0
2019,DDoS Attack,PaaS,High,104,4.3,46
2020,DDoS Attack,SaaS,Medium,55,3.9,70
2020,Zero-Day Vulnerability,PaaS,Low,37,5.6,14
2021,Insider Threat,IaaS,Medium,10,5.1,4
2021,Phishing,SaaS,Low,4,6.8,2
2022,Insider Threat,SaaS,Low,32,6.3,21
2019,Malware Injection,IaaS,Low,20,6.0,22
2024,DDoS Attack,PaaS,Low,34,8.0,39
2023,API Abuse,PaaS,Medium,42,5.4,41
2020,Malware Injection,IaaS,Medium,42,3.7,24
2019,API Abuse,PaaS,Low,20,5.7,19
2021,API Abuse,SaaS,Medium,8,4.6,9
2024,Zero-Day Vulnerability,IaaS,High,83,6.9,83
2023,Supply Chain Compromise,IaaS,Low,52,6.9,41
2022,Misconfiguration,IaaS,High,49,3.7,24
2022,Insider Threat,SaaS,Low,12,7.7,7
2019,Supply Chain Compromise,IaaS,Low,17,7.5,12
2019,Insider Threat,IaaS,Low,14,5.0,11
2021,DDoS Attack,IaaS,High,89,5.2,60
2024,Supply Chain Compromise,SaaS,High,21,4.0,24
2021,Malware Injection,IaaS,Medium,22,4.3,26
2021,Supply Chain Compromise,IaaS,Medium,64,6.3,45
2021,Malware Injection,IaaS,Low,20,6.1,13
2019,Insider Threat,IaaS,Low,26,7.5,30
2023,API Abuse,IaaS,Medium,40,8.3,32
2021,Malware Injection,PaaS,Medium,26,1.4,30
2021,Container Escape,PaaS,Low,24,9.1,26
2021,API Abuse,PaaS,Low,30,6.5,14
2022,Supply Chain Compromise,IaaS,Low,43,7.7,40
2021,API Abuse,PaaS,Low,28,10.0,23
2021,Data Breach,PaaS,Medium,30,5.8,13
2023,Container Escape,SaaS,Low,22,10.0,15
2021,API Abuse,IaaS,Low,64,5.7,64
2020,DDoS Attack,IaaS,Medium,83,6.9,91
2021,Zero-Day Vulnerability,IaaS,Low,1,5.6,1
2024,Data Breach,IaaS,Medium,1,3.5,1
2020,Misconfiguration,PaaS,High,70,2.9,59
2024,Misconfiguration,SaaS,Medium,38,4.2,37
2019,Misconfiguration,IaaS,Medium,37,4.7,14
2019,Supply Chain Compromise,IaaS,Low,1,5.8,0
2023,Insider Threat,IaaS,High,78,5.6,99
2024,Malware Injection,IaaS,Medium,26,5.3,21
2023,DDoS Attack,IaaS,High,84,4.7,47
2021,Supply Chain Compromise,SaaS,Medium,38,4.4,16
2020,Supply Chain Compromise,SaaS,Medium,39,5.2,30
2021,Misconfiguration,PaaS,Medium,41,5.3,32
2019,DDoS Attack,IaaS,Medium,41,6.8,42
2021,Zero-Day Vulnerability,PaaS,Medium,43,6.2,24
2024,Supply Chain Compromise,SaaS,High,54,6.0,54
2022,Phishing,IaaS,High,57,4.5,29
2023,Data Breach,SaaS,Low,50,7.6,37
2019,Container Escape,IaaS,Medium,44,5.2,25
2021,Phishing,SaaS,Low,31,6.0,25
2023,Insider Threat,IaaS,Low,13,7.0,8
2024,Phishing,PaaS,Low,1,5.6,0
2024,Insider Threat,PaaS,Low,4,9.9,3
2020,Misconfiguration,IaaS,Medium,86,5.8,45
2024,Misconfiguration,PaaS,Low,34,5.7,16
2019,Insider Threat,IaaS,High,48,7.3,38
2022,Zero-Day Vulnerability,PaaS,Medium,48,3.3,57
2023,Phishing,PaaS,Low,16,7.7,16
2024,Misconfiguration,SaaS,Low,1,8.1,0
2020,Supply Chain Compromise,IaaS,High,76,2.4,81
2019,Insider Threat,SaaS,Low,24,7.2,28
2022,Supply Chain Compromise,IaaS,Low,19,10.0,12
2022,Phishing,PaaS,Medium,34,5.5,18
2023,Container Escape,PaaS,Medium,25,6.5,11
2020,Misconfiguration,SaaS,Medium,23,6.8,25
2023,Insider Threat,PaaS,Low,1,5.2,1
2022,Zero-Day Vulnerability,IaaS,High,51,1.0,53
2020,Data Breach,IaaS,Medium,29,2.9,11
2019,Container Escape,IaaS,Low,30,6.1,13
2020,Container Escape,SaaS,Medium,71,5.1,41
2023,Malware Injection,SaaS,High,65,1.1,35
2020,Container Escape,IaaS,Medium,44,4.0,21
2021,DDoS Attack,SaaS,Medium,28,3.2,16
2024,Data Breach,PaaS,Low,10,8.0,9
2020,Phishing,IaaS,Low,8,7.9,7
2024,Phishing,PaaS,Low,1,8.0,1
2023,Data Breach,IaaS,Medium,72,6.5,57
2022,API Abuse,SaaS,High,58,4.0,55
2023,Supply Chain Compromise,IaaS,Medium,48,4.6,55
2019,DDoS Attack,PaaS,Medium,51,7.5,29
2022,Malware Injection,SaaS,Low,29,6.7,21
2021,Zero-Day Vulnerability,SaaS,Low,35,9.0,44
2023,Zero-Day Vulnerability,PaaS,Medium,59,8.4,38
2019,Misconfiguration,PaaS,Medium,17,6.7,9
2024,Container Escape,IaaS,High,104,3.7,75
2021,Zero-Day Vulnerability,PaaS,Low,15,8.9,12
2022,API Abuse,IaaS,Medium,1,5.6,1
2024,Data Breach,PaaS,Low,21,7.6,16
2022,Phishing,PaaS,High,61,3.4,66
2024,Container Escape,IaaS,High,58,3.2,56
2022,Malware Injection,SaaS,Medium,38,6.5,36
2023,Malware Injection,PaaS,Low,19,7.8,21
2021,Data Breach,PaaS,Medium,37,4.5,45
2020,Insider Threat,SaaS,Low,1,7.3,0
2019,Supply Chain Compromise,PaaS,Medium,21,5.9,12
2023,API Abuse,SaaS,Low,1,8.4,0
2021,Malware Injection,PaaS,Low,1,6.6,1
2023,Insider Threat,PaaS,Low,7,8.8,8
2019,Malware Injection,PaaS,High,69,3.7,33
2024,Supply Chain Compromise,IaaS,Low,48,7.1,44
2020,Supply Chain Compromise,IaaS,High,70,2.0,54
2022,Insider Threat,PaaS,Low,31,9.3,32
2024,Insider Threat,SaaS,Low,34,7.4,19
2022,DDoS Attack,PaaS,Medium,51,4.8,20
2020,Insider Threat,IaaS,High,49,3.6,59
2020,Misconfiguration,PaaS,Medium,26,7.6,31
2019,API Abuse,PaaS,Low,22,7.3,13
2023,Data Breach,IaaS,Medium,51,4.4,22
2021,API Abuse,IaaS,Low,1,6.1,1
2023,API Abuse,PaaS,Low,24,7.2,15
2019,Data Breach,IaaS,Medium,34,3.8,28
2023,Supply Chain Compromise,IaaS,Low,46,6.0,51
2019,API Abuse,PaaS,Low,15,6.8,8
2021,Data Breach,PaaS,Medium,37,5.2,24
2024,Zero-Day Vulnerability,PaaS,Medium,40,5.4,19
2023,Malware Injection,PaaS,Low,1,7.3,1
2022,Malware Injection,PaaS,Low,22,6.7,21
2020,Misconfiguration,IaaS,High,46,1.0,31
2024,Malware Injection,SaaS,Medium,35,4.2,39
2024,Malware Injection,IaaS,Medium,46,7.8,25
2022,Phishing,SaaS,Low,14,4.0,8
2023,Data Breach,SaaS,Medium,15,4.3,10
2022,Supply Chain Compromise,SaaS,Medium,42,5.3,54
2022,Zero-Day Vulnerability,IaaS,Low,1,9.3,1
2022,Container Escape,IaaS,Medium,30,10.0,19
2021,Supply Chain Compromise,IaaS,Low,11,7.4,8
2022,DDoS Attack,SaaS,Low,46,9.3,44
2024,Malware Injection,IaaS,Low,6,7.6,7
2023,Supply Chain Compromise,IaaS,Medium,31,3.0,16
2021,Container Escape,SaaS,Medium,42,4.6,27
2024,Container Escape,IaaS,High,80,5.6,36
2023,Phishing,PaaS,Medium,41,7.2,44
2022,Insider Threat,PaaS,High,26,5.6,20
2022,Container Escape,SaaS,Medium,56,4.0,67
2021,Malware Injection,SaaS,Low,29,8.4,19
2022,Data Breach,SaaS,Low,35,8.8,35
2020,Zero-Day Vulnerability,PaaS,Low,44,9.4,45
2024,Phishing,IaaS,Low,24,7.6,13
2021,Supply Chain Compromise,SaaS,Medium,22,5.3,17
2019,Supply Chain Compromise,PaaS,Low,18,8.9,7
2022,Insider Threat,IaaS,Low,7,6.5,7
2022,Container Escape,IaaS,Low,35,8.6,38
2023,Container Escape,IaaS,Medium,58,8.5,73
2021,Data Breach,IaaS,Low,16,9.4,6
2024,API Abuse,PaaS,High,72,2.5,67
2019,Container Escape,PaaS,Medium,74,5.0,35
2022,Malware Injection,IaaS,High,54,3.7,61
2019,Malware Injection,PaaS,High,67,4.5,48
2023,Misconfiguration,PaaS,Low,51,9.6,28
2024,API Abuse,PaaS,Low,20,7.8,9
2022,Insider Threat,IaaS,Low,20,8.5,22
2019,Phishing,IaaS,Medium,33,2.1,15
2022,API Abuse,IaaS,Medium,24,5.4,19
2022,Misconfiguration,SaaS,Low,30,7.2,21
2019,Malware Injection,SaaS,High,57,3.1,61
2022,Container Escape,PaaS,Low,62,6.4,38
2024,API Abuse,IaaS,Low,3,7.1,2
2022,Data Breach,PaaS,High,64,6.5,48
2024,Phishing,PaaS,Low,21,6.2,14
2021,Data Breach,SaaS,Low,25,5.8,22
2022,Supply Chain Compromise,IaaS,Low,35,6.0,42
2024,Container Escape,IaaS,High,38,6.1,43
2023,Misconfiguration,IaaS,High,59,4.0,55
2021,Container Escape,IaaS,High,83,4.9,78
2019,Misconfiguration,IaaS,High,66,1.0,53
2024,Zero-Day Vulnerability,IaaS,Low,26,5.4,30
2024,Container Escape,IaaS,Medium,68,5.7,49
2022,Data Breach,IaaS,High,53,5.8,28
2023,Data Breach,SaaS,Low,29,7.9,34
2024,Container Escape,IaaS,High,41,2.7,44
2021,Insider Threat,IaaS,Low,46,5.9,57
2020,Misconfiguration,IaaS,Medium,46,7.7,51
2020,Misconfiguration,IaaS,Medium,17,5.3,13
2020,Misconfiguration,PaaS,Medium,29,7.1,35
2022,Misconfiguration,PaaS,Low,1,5.6,1
2022,DDoS Attack,PaaS,Low,30,6.4,18
2019,Supply Chain Compromise,SaaS,Medium,32,4.3,21
2022,Insider Threat,PaaS,Low,29,6.4,31
2019,DDoS Attack,IaaS,Low,21,6.0,9
2024,Data Breach,PaaS,Low,20,5.8,18
2020,Container Escape,SaaS,Medium,22,5.5,10
2024,Supply Chain Compromise,IaaS,High,84,6.6,60
2021,Zero-Day Vulnerability,IaaS,High,67,5.5,71
2023,Supply Chain Compromise,IaaS,Medium,37,5.4,37
2024,Zero-Day Vulnerability,SaaS,Medium,33,3.5,39
2023,Container Escape,PaaS,Medium,60,6.1,55
2020,Phishing,IaaS,High,61,5.8,56
2024,Supply Chain Compromise,IaaS,Low,26,6.3,31
2020,Misconfiguration,IaaS,Medium,64,3.2,32
2022,API Abuse,SaaS,Low,39,8.0,17
2024,Phishing,PaaS,Low,1,6.7,0
2022,Insider Threat,SaaS,Medium,19,4.7,9
2021,Data Breach,SaaS,High,60,2.1,65
2020,DDoS Attack,IaaS,High,71,2.2,69
2024,Container Escape,SaaS,Low,26,7.7,26
2023,Malware Injection,IaaS,High,66,6.4,80
2020,Container Escape,PaaS,Medium,54,5.7,54
2022,DDoS Attack,IaaS,High,83,6.6,35
2023,Container Escape,SaaS,Medium,95,6.3,50
2023,Supply Chain Compromise,IaaS,Low,37,9.0,39
2021,API Abuse,PaaS,Low,1,10.0,0
2023,Phishing,SaaS,High,63,1.0,37
2021,DDoS Attack,PaaS,Medium,62,2.3,80
2024,API Abuse,PaaS,High,26,2.5,30
2024,Malware Injection,SaaS,Medium,25,6.5,12
2020,Data Breach,SaaS,Medium,56,5.8,55
2022,Container Escape,PaaS,Medium,55,5.3,47
2021,Phishing,PaaS,High,55,4.7,47
2023,DDoS Attack,PaaS,Medium,54,6.2,36
2021,Zero-Day Vulnerability,IaaS,Low,12,5.9,12
2019,Data Breach,IaaS,Low,62,5.9,54
2022,Phishing,PaaS,Low,19,10.0,16
2020,DDoS Attack,SaaS,Medium,60,7.4,44
2024,Container Escape,IaaS,Medium,53,6.2,66
2024,Zero-Day Vulnerability,IaaS,Medium,22,9.9,9
2024,Zero-Day Vulnerability,IaaS,High,72,4.9,64
2024,Zero-Day Vulnerability,PaaS,Low,1,7.5,1
2022,Container Escape,SaaS,Medium,74,5.6,72
2022,Zero-Day Vulnerability,IaaS,Low,1,8.2,0
2021,Data Breach,PaaS,Low,39,8.2,43
2023,API Abuse,PaaS,Low,21,7.0,24
2024,DDoS Attack,SaaS,Medium,34,5.9,14
2023,Phishing,IaaS,High,44,5.0,50
2022,DDoS Attack,IaaS,Medium,48,8.3,46
2019,Insider Threat,IaaS,Low,60,8.9,52
2022,Zero-Day Vulnerability,IaaS,Medium,44,4.5,52
2020,Zero-Day Vulnerability,PaaS,Low,39,9.9,35
2021,Data Breach,SaaS,High,62,4.1,80
2022,Zero-Day Vulnerability,IaaS,Low,33,6.8,20
2022,Container Escape,PaaS,High,90,5.3,47
2021,Malware Injection,IaaS,Low,1,6.4,0
2023,Insider Threat,IaaS,Medium,27,6.8,21
2020,Insider Threat,PaaS,Low,1,6.6,0
2019,Data Breach,PaaS,Low,75,8.6,82
2019,Zero-Day Vulnerability,PaaS,Medium,35,5.8,30
2021,API Abuse,SaaS,Low,1,7.1,0
2019,Insider Threat,PaaS,Medium,48,7.9,48
2023,Container Escape,IaaS,Low,49,8.7,24
2021,Insider Threat,SaaS,High,54,5.4,49
2024,Malware Injection,SaaS,High,63,2.1,28
2019,Supply Chain Compromise,PaaS,High,106,4.8,114
2024,Phishing,IaaS,Medium,54,3.3,29
2021,Malware Injection,PaaS,High,48,6.0,24
2022,Malware Injection,SaaS,High,90,4.7,110
2020,Data Breach,IaaS,Medium,71,8.9,84
2021,API Abuse,IaaS,Low,23,7.9,9
2023,Phishing,SaaS,Medium,37,5.2,17
2020,Zero-Day Vulnerability,PaaS,Low,54,8.3,32
2020,DDoS Attack,IaaS,Low,35,8.0,41
2023,Insider Threat,PaaS,Low,45,6.8,53
2020,Supply Chain Compromise,IaaS,Low,46,7.0,20
2021,DDoS Attack,IaaS,High,69,3.6,49
2024,DDoS Attack,SaaS,Low,40,7.6,18
2024,DDoS Attack,SaaS,Medium,17,7.6,17
2023,DDoS Attack,IaaS,Medium,62,1.6,45
2021,DDoS Attack,PaaS,Medium,33,5.7,19
2022,Malware Injection,SaaS,Low,43,5.1,22
2019,Container Escape,PaaS,Low,32,7.1,40
2022,Supply Chain Compromise,SaaS,Low,53,7.1,21
2020,DDoS Attack,IaaS,Medium,36,3.1,24
2022,Zero-Day Vulnerability,IaaS,Medium,60,1.3,58
2020,Phishing,IaaS,Low,31,4.0,17
2024,Data Breach,PaaS,Low,59,7.5,57
2020,Insider Threat,PaaS,Medium,45,7.0,47
2023,Malware Injection,PaaS,Low,22,6.9,10
2022,Supply Chain Compromise,IaaS,Low,12,5.9,10
2024,Container Escape,PaaS,High,39,3.8,31
2024,Container Escape,PaaS,High,71,4.9,55
2023,Supply Chain Compromise,SaaS,Medium,75,8.3,59
2019,DDoS Attack,PaaS,High,55,5.0,58
2019,Phishing,IaaS,Medium,48,3.2,25
2024,Data Breach,PaaS,Low,16,7.0,8
2024,Supply Chain Compromise,SaaS,Medium,40,6.6,40
2021,Container Escape,IaaS,Low,32,5.9,34
2021,Container Escape,PaaS,Low,41,7.7,42
2021,Data Breach,PaaS,Low,44,5.2,23
2022,Misconfiguration,IaaS,Medium,71,4.0,56
2021,API Abuse,PaaS,High,35,2.0,16
2022,Supply Chain Compromise,PaaS,High,73,2.8,40
